,foliointerno,_id,Usuario.razonSocial,Productos.idLocal,Productos.unidades,Productos.cantidad,Productos.importe,Especificaciones.estructura,Especificaciones.tipo,Especificaciones.calibreECT,Especificaciones.caraExterior,Especificaciones.largo,Especificaciones.ancho,Especificaciones.alto,Especificaciones.tipoUnion,Especificaciones.suaje,Productos.precioUnitario,precios.precioGeneralm2,Especificaciones.longitudLamina,Especificaciones.anchoLamina,areaM2,precioLista
137,0000001816,5fc955d6eab151fb539d0ee2,"Intermuebles Modulares, S.A. de C.V.",CAJA-NOBS3D,millares,0.3,23700.0,caja regular,"[5.5, 1.5]",32,kraft,54.8,48.0,78.0,CIP,0,79000.0,14.12,2.1109999999999998,2.535,5.351385,75.56155619999998
138,0000001816,5fc955d6eab151fb539d0ee2,"Intermuebles Modulares, S.A. de C.V.",CAJA-NOC4D,millares,0.3,31500.0,caja regular,"[5.5, 1.5]",32,kraft,74.8,48.0,97.0,CIP,0,105000.0,14.12,2.511,2.915,7.319565000000001,103.3522578
139,0000001731,5fc980408e8ca1720f06b590,"Intermuebles Modulares, S.A. de C.V.",CAJA-NOBS3D,millares,0.5,39500.0,caja regular,"[5.5, 1.5]",32,kraft,54.8,48.0,78.0,CIP,0,79000.0,14.12,2.1109999999999998,2.535,5.351385,75.56155619999998
140,0000001731,5fc980408e8ca1720f06b590,"Intermuebles Modulares, S.A. de C.V.",CAJAOC3D,millares,0.2,18600.0,caja regular,"[5.5, 1.5]",32,kraft,74.8,48.0,78.0,CIP,0,93000.0,14.12,2.511,2.535,6.365385000000001,89.87923620000001
141,0000001731,5fc980408e8ca1720f06b590,"Intermuebles Modulares, S.A. de C.V.",CAJA-NOC4D,millares,0.2,21000.0,caja regular,"[5.5, 1.5]",32,kraft,74.8,48.0,97.0,CIP,0,105000.0,14.12,2.511,2.915,7.319565000000001,103.3522578
142,0000001731,5fc980408e8ca1720f06b590,"Intermuebles Modulares, S.A. de C.V.",CAJAOW1D2D,millares,0.2,21200.0,caja regular,"[5.5, 1.5]",32,kraft,60.0,57.0,200.0,CIP,0,106000.0,14.12,2.395,5.155,12.346225,174.328697
143,0000001731,5fc980408e8ca1720f06b590,"Intermuebles Modulares, S.A. de C.V.",CAJACHAROLAOW1D,millares,0.4,8800.0,charola,"[0, 0]",32,kraft,61.4,59.1,18.3,,0,22000.0,14.12,2.41,1.548,3.7306800000000004,52.677201600000004
144,0000001012,5fc989488e8ca1720f06b591,"Intermuebles Modulares, S.A. de C.V.",CAJA-NOBS3D,millares,0.6,47400.0,caja regular,"[5.5, 1.5]",32,kraft,54.8,48.0,78.0,CIP,0,79000.0,14.12,2.1109999999999998,2.535,5.351385,75.56155619999998
145,0000001137,5fc98ea98e8ca1720f06b592,"Intermuebles Modulares, S.A. de C.V.",CAJAOC3D,millares,0.2,18600.0,caja regular,"[5.5, 1.5]",32,kraft,74.8,48.0,78.0,CIP,0,93000.0,14.12,2.511,2.535,6.365385000000001,89.87923620000001
146,0000001141,5fc98f748e8ca1720f06b593,"Intermuebles Modulares, S.A. de C.V.",CAJA-NOC4D,millares,0.3,31500.0,caja regular,"[5.5, 1.5]",32,kraft,74.8,48.0,97.0,CIP,0,105000.0,14.12,2.511,2.915,7.319565000000001,103.3522578
147,0000001246,5fc990128e8ca1720f06b594,"Intermuebles Modulares, S.A. de C.V.",CAJA-NOBS3D,millares,0.2,15800.0,caja regular,"[5.5, 1.5]",32,kraft,54.8,48.0,78.0,CIP,0,79000.0,14.12,2.1109999999999998,2.535,5.351385,75.56155619999998
148,0000001246,5fc990128e8ca1720f06b594,"Intermuebles Modulares, S.A. de C.V.",CAJA-NOC4D,millares,0.2,21000.0,caja regular,"[5.5, 1.5]",32,kraft,74.8,48.0,97.0,CIP,0,105000.0,14.12,2.511,2.915,7.319565000000001,103.3522578
149,0000001057,5fc992738e8ca1720f06b595,"Intermuebles Modulares, S.A. de C.V.",CAJA-NOBS3D,millares,0.6,47400.0,caja regular,"[5.5, 1.5]",32,kraft,54.8,48.0,78.0,CIP,0,79000.0,14.12,2.1109999999999998,2.535,5.351385,75.56155619999998
150,0000001428,5fc9950f8e8ca1720f06b596,"Intermuebles Modulares, S.A. de C.V.",CAJA-NOBS3D,millares,0.5,39500.0,caja regular,"[5.5, 1.5]",32,kraft,54.8,48.0,78.0,CIP,0,79000.0,14.12,2.1109999999999998,2.535,5.351385,75.56155619999998
151,0000001428,5fc9950f8e8ca1720f06b596,"Intermuebles Modulares, S.A. de C.V.",CAJA-NOC4D,millares,0.2,21000.0,caja regular,"[5.5, 1.5]",32,kraft,74.8,48.0,97.0,CIP,0,105000.0,14.12,2.511,2.915,7.319565000000001,103.3522578
152,24338,5fcb94784124c8597eb6c8c1,LOQUAY. S.A.,CJ90,millares,2.0,5512.0,caja regular,"[5.5, 1.5]",29,kraft,20.0,10.4,18.5,CIP,0,2756.0,13.25,0.6629999999999999,0.593,0.3931589999999999,5.209356749999999
153,24336,5fcb94d64124c8597eb6c8c2,LOQUAY. S.A.,CJ08,millares,2.0,11690.0,caja regular,"[5.5, 1.5]",29,kraft,28.0,21.2,18.5,CIP,0,5845.0,13.25,1.0390000000000001,0.809,0.8405510000000002,11.137300750000001
